PART NUMBER,PART NAME,CATEGORY,LOCATION,CURRENT STOCK,REORDER POINT ,SAFETY STOCK,REORDER QTY,AVG DAILY USAGE,LEAD TIME DAYS,VENDOR,UNIT COST,LAST ORDER DATE,STOCKOUT DAYS,REORDER TRIGGERED,RECOMMENDED ORDER QTY,EXPECTED REPLENISHMENT DATE,STATUS FLAG,DAYS SINCE LAST ORDER,REORDER RISK LEVEL,SUPPLY GAP FLAG,DAYS TO REORDER,DEMAND CLASSIFICATION,INVENTORY VALUE,COVERAGE DAYS POST REORDER,VENDOR RISK FLAG
AST-8380,Fuel Injection Sensor,Navigation,FLT-WH3,224,59,70,79,1,6,Kwimbee,1080.65,2025-02-18,224.0,No,0,2025-04-08,SAFE,1900-02-12,LOW,OK,165.0,Low,242065.6,79.0,Standard
AST-5428,Radiation Shielding Unit,Navigation,TX-WH4,135,63,46,165,2,20,Voolith,805.65,2024-11-03,67.5,No,0,2025-04-22,SAFE,1900-05-29,LOW,OK,36.0,Low,108762.75,82.5,Standard
AST-1884,Fuel Injection Sensor,Payload Bay,ORB-WH2,35,106,46,140,13,26,Skiba,889.25,2024-08-26,2.69,Yes,140,2025-04-28,CRITICAL,1900-08-06,HIGH,UNDERORDERED,-5.461538462,Medium,31123.75,10.76923077,High Risk
AST-8097,Pressurized Cabin Ring,Guidance,HQ-WH1,160,92,63,146,3,11,Ntag,1472.2,2024-11-14,53.33,No,0,2025-04-13,SAFE,1900-05-18,LOW,OK,22.66666667,Low,235552.0,48.66666667,Standard
AST-1305,Gyroscopic Stabilizer,Thermal,FLT-WH3,219,147,61,103,9,12,Feedfish,900.24,2024-11-05,24.33,No,0,2025-04-14,SAFE,1900-05-27,LOW,UNDERORDERED,8.0,Medium,197152.56,11.44444444,Standard
AST-0717,Navigation Core Processor,Avionics,AZ-WH5,214,133,70,171,5,30,Mynte,333.4,2024-09-25,42.8,No,0,2025-05-02,SAFE,1900-07-07,LOW,OK,16.2,Low,71347.6,34.2,High Risk
AST-3917,Fuel Injection Sensor,Ground Support,TX-WH4,7,65,26,122,18,5,Realblab,1312.46,2024-10-28,0.39,Yes,122,2025-04-07,CRITICAL,1900-06-04,HIGH,OK,-3.222222222,High,9187.22,6.777777778,Standard
AST-2035,Gyroscopic Stabilizer,Flight Control,FLT-WH3,68,65,62,146,8,15,Topicware,613.5,2025-03-19,8.5,No,0,2025-04-17,SAFE,1900-01-14,LOW,OK,0.375,Medium,41718.0,18.25,Standard
AST-5191,Composite Tank Latch,Payload Bay,AZ-WH5,207,128,33,167,1,18,Meembee,1310.6,2024-08-27,207.0,No,0,2025-04-20,SAFE,1900-08-05,LOW,OK,79.0,Low,271294.2,167.0,Standard
AST-5398,Navigation Core Processor,Propulsion,ORB-WH2,24,137,48,128,14,18,Trunyx,421.87,2024-04-15,1.71,Yes,128,2025-04-20,CRITICAL,1900-12-17,HIGH,UNDERORDERED,-8.071428571,Medium,10124.88,9.142857143,Standard
AST-5404,Atmospheric Regulator Coil,Thermal,FLT-WH3,90,59,40,182,12,18,Rhycero,770.02,2024-08-20,7.5,No,0,2025-04-20,SAFE,1900-08-12,LOW,UNDERORDERED,2.583333333,Medium,69301.8,15.16666667,Standard
AST-6976,Composite Tank Latch,Navigation,AZ-WH5,90,101,62,101,16,10,Demivee,577.49,2024-06-03,5.63,Yes,101,2025-04-12,LOW,1900-10-29,LOW,UNDERORDERED,-0.6875,High,51974.1,6.3125,Standard
AST-7679,Pressurized Cabin Ring,Payload Bay,HQ-WH1,88,138,39,112,2,22,Zazio,610.2,2024-07-01,44.0,Yes,112,2025-04-24,SAFE,1900-10-01,LOW,OK,-25.0,Low,53697.6,56.0,High Risk
AST-6162,Radiation Shielding Unit,Structural,AZ-WH5,108,68,42,200,7,19,Thoughtmix,566.7,2025-02-11,15.43,No,0,2025-04-21,SAFE,1900-02-19,LOW,OK,5.714285714,Medium,61203.6,28.57142857,Standard
AST-0099,Orbital Thruster Valve,Guidance,FLT-WH3,172,118,56,168,7,13,Blogtag,1015.91,2024-11-17,24.57,No,0,2025-04-15,SAFE,1900-05-15,LOW,OK,7.714285714,Medium,174736.52,24.0,Standard
AST-5012,Pressurized Cabin Ring,Power Systems,FLT-WH3,120,62,40,62,2,9,Teklist,677.73,2024-05-21,60.0,No,0,2025-04-11,SAFE,1900-11-11,LOW,OK,29.0,Low,81327.6,31.0,Standard
AST-0412,Orbital Thruster Valve,Flight Control,TX-WH4,62,92,48,95,6,15,Eazzy,1112.0,2024-06-29,10.33,Yes,95,2025-04-17,SAFE,1900-10-03,LOW,OK,-5.0,Low,68944.0,15.83333333,Standard
AST-1799,Atmospheric Regulator Coil,Avionics,ORB-WH2,131,148,25,82,2,8,Avaveo,980.21,2025-01-03,65.5,Yes,82,2025-04-10,SAFE,1900-03-29,LOW,OK,-8.5,Low,128407.51,41.0,Standard
AST-3271,Payload Release Clamp,Ground Support,FLT-WH3,191,76,50,96,12,27,Kimia,940.06,2025-02-05,15.92,No,0,2025-04-29,SAFE,1900-02-25,LOW,UNDERORDERED,9.583333333,Medium,179551.46,8.0,High Risk
AST-9284,Atmospheric Regulator Coil,Avionics,FLT-WH3,9,78,30,73,14,5,Eadel,1096.61,2024-03-31,0.64,Yes,73,2025-04-07,CRITICAL,1901-01-01,HIGH,OK,-4.928571429,Medium,9869.49,5.214285714,Standard
AST-4529,Aerofoil Bracket,Flight Control,TX-WH4,117,150,51,65,20,14,Browsecat,1375.25,2024-06-19,5.85,Yes,65,2025-04-16,LOW,1900-10-13,LOW,UNDERORDERED,-1.65,High,160904.25,3.25,Standard
AST-9372,Radiation Shielding Unit,Ground Support,ORB-WH2,153,125,41,81,14,15,Feedbug,1097.42,2024-06-22,10.93,No,0,2025-04-17,SAFE,1900-10-10,LOW,UNDERORDERED,2.0,Medium,167905.26,5.785714286,Standard
AST-4300,Orbital Thruster Valve,Payload Bay,FLT-WH3,219,69,28,103,16,20,Photobug,271.79,2024-06-26,13.69,No,0,2025-04-22,SAFE,1900-10-06,LOW,UNDERORDERED,9.375,High,59522.01,6.4375,Standard
AST-3712,Flight Control Harness,Power Systems,FLT-WH3,164,119,63,138,18,22,Brainlounge,883.57,2024-04-28,9.11,No,0,2025-04-24,SAFE,1900-12-04,LOW,UNDERORDERED,2.5,High,144905.48,7.666666667,High Risk
AST-7271,Flight Control Harness,Payload Bay,HQ-WH1,196,103,45,64,10,29,Einti,1236.35,2025-02-16,19.6,No,0,2025-05-01,SAFE,1900-02-14,LOW,UNDERORDERED,9.3,Medium,242324.6,6.4,High Risk
AST-5048,Wing Panel Fastener,Navigation,ORB-WH2,33,116,57,122,1,16,Roomm,1061.08,2024-06-08,33.0,Yes,122,2025-04-18,SAFE,1900-10-24,LOW,OK,-83.0,Low,35015.64,122.0,Standard
AST-8932,Fuel Injection Sensor,Payload Bay,HQ-WH1,144,107,51,89,14,13,Skynoodle,1064.98,2024-12-04,10.29,No,0,2025-04-15,SAFE,1900-04-28,LOW,UNDERORDERED,2.642857143,Medium,153357.12,6.357142857,Standard
AST-7265,Orbital Thruster Valve,Avionics,ORB-WH2,200,114,26,111,13,22,Jabbertype,1070.64,2024-12-02,15.38,No,0,2025-04-24,SAFE,1900-04-30,LOW,UNDERORDERED,6.615384615,Medium,214128.0,8.538461538,High Risk
AST-3607,Composite Tank Latch,Ground Support,HQ-WH1,174,102,60,113,10,16,Innotype,321.8,2024-10-20,17.4,No,0,2025-04-18,SAFE,1900-06-12,LOW,UNDERORDERED,7.2,Medium,55993.2,11.3,Standard
AST-7840,Aerofoil Bracket,Payload Bay,ORB-WH2,56,137,63,59,12,22,Oyoloo,836.17,2025-01-12,4.67,Yes,59,2025-04-24,LOW,1900-03-20,HIGH,UNDERORDERED,-6.75,Medium,46825.52,4.916666667,High Risk
AST-7582,Composite Tank Latch,Navigation,FLT-WH3,112,78,55,180,13,6,Kazu,1119.9,2024-07-24,8.62,No,0,2025-04-08,SAFE,1900-09-08,LOW,OK,2.615384615,Medium,125428.8,13.84615385,Standard
AST-6873,Wing Panel Fastener,Navigation,ORB-WH2,198,143,58,121,10,6,Jaxnation,677.35,2024-07-19,19.8,No,0,2025-04-08,SAFE,1900-09-13,LOW,OK,5.5,Medium,134115.3,12.1,Standard
AST-9979,Orbital Thruster Valve,Navigation,FLT-WH3,121,121,65,111,20,17,Demizz,444.57,2025-01-29,6.05,Yes,111,2025-04-19,LOW,1900-03-03,LOW,UNDERORDERED,0.0,High,53792.97,5.55,Standard
AST-5633,Aerofoil Bracket,Propulsion,AZ-WH5,26,89,43,119,8,11,Edgewire,1115.99,2024-12-28,3.25,Yes,119,2025-04-13,LOW,1900-04-04,HIGH,OK,-7.875,Medium,29015.74,14.875,Standard
AST-7350,Pressurized Cabin Ring,Avionics,ORB-WH2,130,94,25,176,14,18,Layo,1406.89,2025-01-22,9.29,No,0,2025-04-20,SAFE,1900-03-10,LOW,UNDERORDERED,2.571428571,Medium,182895.7,12.57142857,Standard
AST-0799,Gyroscopic Stabilizer,Power Systems,HQ-WH1,56,103,71,73,10,11,Zava,1033.43,2024-09-05,5.6,Yes,73,2025-04-13,LOW,1900-07-27,LOW,UNDERORDERED,-4.7,Medium,57872.08,7.3,Standard
AST-9237,Wing Panel Fastener,Avionics,TX-WH4,174,106,65,97,3,14,Browsebug,1248.04,2025-01-31,58.0,No,0,2025-04-16,SAFE,1900-03-01,LOW,OK,22.66666667,Low,217158.96,32.33333333,Standard
AST-8875,Flight Control Harness,Thermal,AZ-WH5,10,53,49,126,12,18,Gabtune,1396.35,2024-12-26,0.83,Yes,126,2025-04-20,CRITICAL,1900-04-06,HIGH,UNDERORDERED,-3.583333333,Medium,13963.5,10.5,Standard
AST-4788,Flight Control Harness,Guidance,HQ-WH1,13,145,65,96,15,23,Vidoo,320.27,2024-04-23,0.87,Yes,96,2025-04-25,CRITICAL,1900-12-09,HIGH,UNDERORDERED,-8.8,High,4163.51,6.4,High Risk
AST-6440,Wing Panel Fastener,Thermal,FLT-WH3,80,150,29,163,18,28,Meejo,261.25,2024-12-03,4.44,Yes,163,2025-04-30,LOW,1900-04-29,HIGH,UNDERORDERED,-3.888888889,High,20900.0,9.055555556,High Risk
AST-3064,Navigation Core Processor,Avionics,ORB-WH2,57,122,70,65,19,27,Devbug,740.08,2025-03-16,3.0,Yes,65,2025-04-29,LOW,1900-01-17,MODERATE,UNDERORDERED,-3.421052632,High,42184.56,3.421052632,High Risk
AST-9349,Payload Release Clamp,Navigation,ORB-WH2,55,110,45,193,6,23,Digitube,696.27,2024-04-18,9.17,Yes,193,2025-04-25,SAFE,1900-12-14,LOW,OK,-9.166666667,Low,38294.85,32.16666667,High Risk
